id,block_number,timestamp,latency,success
1,8755098,1752409191,2.319124221801758,1
2,8755098,1752409195,1.062720537185669,1
3,8755099,1752409199,0.7502727508544922,1
4,8755099,1752409203,0.7597610950469971,1
5,8755099,1752409207,0.7418363094329834,1
6,8755100,1752409210,0.3177218437194824,1
7,8755100,1752409213,0.3205089569091797,1
8,8755100,1752409217,0.32466650009155273,1
9,8755101,1752409220,0.7899737358093262,1
10,8755101,1752409224,0.7923400402069092,1
